source language,target language,translation engine,is preferred engine?
af,nl,Apertium,true
an,ca,Apertium,false
an,es,Apertium,false
ar,mt,Apertium,true
ast,es,Apertium,false
be,ru,Apertium,true
bg,mk,Apertium,true
br,fr,Apertium,false
ca,an,Apertium,false
ca,en,Apertium,false
ca,eo,Apertium,false
ca,es,Apertium,false
ca,fr,Apertium,true
ca,oc,Apertium,true
ca,pt,Apertium,true
ca,simple,Apertium,false
ca,sc,Apertium,true
crh-latn,tr,Apertium,false
cy,en,Apertium,false
cy,simple,Apertium,false
da,nb,Apertium,false
da,nn,Apertium,false
da,sv,Apertium,false
en,ca,Apertium,false
en,eo,Apertium,false
en,es,Apertium,false
en,gl,Apertium,true
en,sh,Apertium,false
eo,en,Apertium,false
eo,simple,Apertium,false
es,an,Apertium,false
es,ast,Apertium,false
es,ca,Apertium,true
es,en,Apertium,false
es,eo,Apertium,false
es,fr,Apertium,true
es,gl,Apertium,true
es,it,Apertium,true
es,oc,Apertium,false
es,pt,Apertium,true
es,simple,Apertium,false
eu,en,Apertium,false
eu,es,Apertium,false
eu,simple,Apertium,false
fr,ca,Apertium,false
fr,eo,Apertium,false
fr,es,Apertium,false
fr,oc,Apertium,true
gl,en,Apertium,false
gl,es,Apertium,false
gl,pt,Apertium,true
gl,simple,Apertium,false
hi,ur,Apertium,true
id,ms,Apertium,true
is,en,Apertium,false
is,simple,Apertium,false
is,sv,Apertium,true
it,ca,Apertium,false
it,es,Apertium,false
it,sc,Apertium,true
kk,tt,Apertium,true
mk,bg,Apertium,true
mk,sr,Apertium,true
ms,id,Apertium,true
mt,ar,Apertium,true
nb,da,Apertium,false
nb,nn,Apertium,false
nb,sv,Apertium,false
nl,af,Apertium,true
nn,da,Apertium,false
nn,nb,Apertium,false
nn,sv,Apertium,false
oc,ca,Apertium,false
oc,es,Apertium,false
pt,ca,Apertium,true
pt,es,Apertium,false
pt,gl,Apertium,false
pl,szl,Apertium,false
ro,es,Apertium,false
ru,be,Apertium,false
ru,uk,Apertium,false
se,nb,Apertium,false
sh,en,Apertium,false
sh,simple,Apertium,false
sh,sl,Apertium,true
simple,ca,Apertium,false
simple,eo,Apertium,false
simple,es,Apertium,false
simple,gl,Apertium,false
simple,sh,Apertium,false
sl,sh,Apertium,false
sl,sr,Apertium,true
sv,da,Apertium,true
sv,is,Apertium,true
sv,nb,Apertium,false
sv,nn,Apertium,false
szl,pl,Apertium,false
tt,kk,Apertium,true
ur,hi,Apertium,true
af,nl,Dictd,false
an,ca,Dictd,false
an,es,Dictd,false
ar,mt,Dictd,false
ast,es,Dictd,false
be,ru,Dictd,false
bg,mk,Dictd,false
br,fr,Dictd,false
ca,an,Dictd,false
ca,en,Dictd,false
ca,eo,Dictd,false
ca,es,Dictd,false
ca,fr,Dictd,false
ca,oc,Dictd,false
ca,pt,Dictd,false
ca,simple,Dictd,false
ca,sc,Dictd,false
crh-latn,tr,Dictd,false
cy,en,Dictd,false
cy,simple,Dictd,false
da,nb,Dictd,false
da,nn,Dictd,false
da,sv,Dictd,false
en,ca,Dictd,false
en,eo,Dictd,false
en,es,Dictd,false
en,gl,Dictd,false
en,sh,Dictd,false
eo,en,Dictd,false
eo,simple,Dictd,false
es,an,Dictd,false
es,ast,Dictd,false
es,ca,Dictd,false
es,en,Dictd,false
es,eo,Dictd,false
es,fr,Dictd,false
es,gl,Dictd,false
es,it,Dictd,false
es,oc,Dictd,false
es,pt,Dictd,false
es,simple,Dictd,false
eu,en,Dictd,false
eu,es,Dictd,false
eu,simple,Dictd,false
fr,ca,Dictd,false
fr,eo,Dictd,false
fr,es,Dictd,false
fr,oc,Dictd,false
gl,en,Dictd,false
gl,es,Dictd,false
gl,pt,Dictd,false
gl,simple,Dictd,false
hi,ur,Dictd,false
id,ms,Dictd,false
is,en,Dictd,false
is,simple,Dictd,false
is,sv,Dictd,false
it,ca,Dictd,false
it,es,Dictd,false
it,sc,Dictd,false
kk,tt,Dictd,false
mk,bg,Dictd,false
mk,sr,Dictd,false
ms,id,Dictd,false
mt,ar,Dictd,false
nb,da,Dictd,false
nb,nn,Dictd,false
nb,sv,Dictd,false
nl,af,Dictd,false
nn,da,Dictd,false
nn,nb,Dictd,false
nn,sv,Dictd,false
oc,ca,Dictd,false
oc,es,Dictd,false
pt,ca,Dictd,false
pt,es,Dictd,false
pt,gl,Dictd,false
pl,szl,Dictd,false
ro,es,Dictd,false
ru,be,Dictd,false
ru,uk,Dictd,false
se,nb,Dictd,false
sh,en,Dictd,false
sh,simple,Dictd,false
sh,sl,Dictd,false
simple,ca,Dictd,false
simple,eo,Dictd,false
simple,es,Dictd,false
simple,gl,Dictd,false
simple,sh,Dictd,false
sl,sh,Dictd,false
sl,sr,Dictd,false
sv,da,Dictd,false
sv,is,Dictd,false
sv,nb,Dictd,false
sv,nn,Dictd,false
szl,pl,Dictd,false
tt,kk,Dictd,false
ur,hi,Dictd,false
ca,eu,Elia,true
ca,fr,Elia,false
ca,simple,Elia,false
en,ca,Elia,false
en,es,Elia,false
en,eu,Elia,true
en,fr,Elia,false
en,gl,Elia,false
es,eu,Elia,true
es,fr,Elia,false
es,simple,Elia,false
eu,ca,Elia,false
eu,es,Elia,false
eu,fr,Elia,false
eu,gl,Elia,false
eu,simple,Elia,false
fr,ca,Elia,false
fr,es,Elia,false
fr,eu,Elia,true
fr,gl,Elia,false
fr,simple,Elia,false
gl,eu,Elia,true
gl,fr,Elia,false
gl,simple,Elia,false
simple,ca,Elia,false
simple,es,Elia,false
simple,eu,Elia,false
simple,fr,Elia,false
simple,gl,Elia,false
en,as,Flores,false
en,ast,Flores,false
en,ay,Flores,false
en,ba,Flores,false
en,ckb,Flores,false
en,ha,Flores,false
en,ig,Flores,true
en,ilo,Flores,false
en,is,Flores,true
en,kg,Flores,false
en,ln,Flores,false
en,lg,Flores,false
en,nso,Flores,false
en,oc,Flores,true
en,om,Flores,false
en,ss,Flores,false
en,tn,Flores,false
en,ts,Flores,false
en,wo,Flores,false
en,yue,Flores,false
en,zh,Flores,false
en,zu,Flores,false
ca,oc,Flores,false
es,as,Flores,false
es,ast,Flores,false
es,ay,Flores,false
es,ba,Flores,false
es,ckb,Flores,false
es,ha,Flores,false
es,ig,Flores,false
es,ilo,Flores,false
es,is,Flores,false
es,kg,Flores,false
es,ln,Flores,false
es,lg,Flores,false
es,nso,Flores,false
es,oc,Flores,false
es,om,Flores,false
es,ss,Flores,false
es,ti,Flores,false
es,tn,Flores,false
es,ts,Flores,false
es,yue,Flores,false
es,zh,Flores,false
es,zu,Flores,false
fr,as,Flores,false
fr,ast,Flores,false
fr,ay,Flores,false
fr,ba,Flores,false
fr,ckb,Flores,false
fr,ha,Flores,false
fr,ig,Flores,false
fr,ilo,Flores,false
fr,is,Flores,false
fr,kg,Flores,false
fr,ln,Flores,false
fr,lg,Flores,false
fr,nso,Flores,false
fr,oc,Flores,false
fr,om,Flores,false
fr,ss,Flores,false
fr,ti,Flores,false
fr,tn,Flores,false
fr,ts,Flores,false
fr,wo,Flores,false
fr,yue,Flores,false
fr,zh,Flores,false
fr,zu,Flores,false
pt,oc,Flores,false
ru,ba,Flores,false
zh,yue,Flores,false
en,as,Google,false
en,ast,Google,false
en,ay,Google,false
en,ba,Google,false
en,ckb,Google,true
en,ha,Google,true
en,ig,Google,false
en,ilo,Google,false
en,is,Google,false
en,kg,Google,false
en,ln,Google,false
en,lg,Google,false
en,nso,Google,false
en,oc,Google,false
en,om,Google,false
en,ss,Google,false
en,tn,Google,false
en,ts,Google,false
en,wo,Google,false
en,yue,Google,false
en,zh,Google,true
en,zu,Google,true
ca,oc,Google,false
es,as,Google,false
es,ast,Google,false
es,ay,Google,false
es,ba,Google,false
es,ckb,Google,true
es,ha,Google,true
es,ig,Google,false
es,ilo,Google,false
es,is,Google,false
es,kg,Google,false
es,ln,Google,false
es,lg,Google,false
es,nso,Google,false
es,oc,Google,false
es,om,Google,false
es,ss,Google,false
es,ti,Google,false
es,tn,Google,false
es,ts,Google,false
es,yue,Google,false
es,zh,Google,true
es,zu,Google,false
fr,as,Google,false
fr,ast,Google,false
fr,ay,Google,false
fr,ba,Google,false
fr,ckb,Google,true
fr,ha,Google,true
fr,ig,Google,false
fr,ilo,Google,false
fr,is,Google,false
fr,kg,Google,false
fr,ln,Google,false
fr,lg,Google,false
fr,nso,Google,false
fr,oc,Google,false
fr,om,Google,false
fr,ss,Google,false
fr,ti,Google,false
fr,tn,Google,false
fr,ts,Google,false
fr,wo,Google,false
fr,yue,Google,false
fr,zh,Google,true
fr,zu,Google,false
pt,oc,Google,false
ru,ba,Google,false
zh,yue,Google,false
en,as,JsonDict,false
en,ast,JsonDict,false
en,ay,JsonDict,false
en,ba,JsonDict,false
en,ckb,JsonDict,false
en,ha,JsonDict,false
en,ig,JsonDict,false
en,ilo,JsonDict,false
en,is,JsonDict,false
en,kg,JsonDict,false
en,ln,JsonDict,false
en,lg,JsonDict,false
en,nso,JsonDict,false
en,oc,JsonDict,false
en,om,JsonDict,false
en,ss,JsonDict,false
en,tn,JsonDict,false
en,ts,JsonDict,false
en,wo,JsonDict,false
en,yue,JsonDict,false
en,zh,JsonDict,false
en,zu,JsonDict,false
ca,oc,JsonDict,false
es,as,JsonDict,false
es,ast,JsonDict,false
es,ay,JsonDict,false
es,ba,JsonDict,false
es,ckb,JsonDict,false
es,ha,JsonDict,false
es,ig,JsonDict,false
es,ilo,JsonDict,false
es,is,JsonDict,false
es,kg,JsonDict,false
es,ln,JsonDict,false
es,lg,JsonDict,false
es,nso,JsonDict,false
es,oc,JsonDict,false
es,om,JsonDict,false
es,ss,JsonDict,false
es,ti,JsonDict,false
es,tn,JsonDict,false
es,ts,JsonDict,false
es,yue,JsonDict,false
es,zh,JsonDict,false
es,zu,JsonDict,false
fr,as,JsonDict,false
fr,ast,JsonDict,false
